1,0
10001,5
20001,12
30001,19
40001,25
50001,32
60001,48
70001,53
80001,66
90001,71
100001,80
110001,87
120001,99
130001,113
140001,123
150001,136
160001,154
170001,171
180001,176
190001,185
200001,210
210001,213
220001,267
230001,289
240001,279
250001,276
260001,286
270001,298
280001,308
290001,329
300001,342
310001,365
320001,387
330001,399
340001,421
350001,454
360001,431
370001,465
380001,485
390001,514
400001,517
410001,540
420001,532
430001,552
440001,552
450001,590
460001,588
470001,636
480001,640
490001,662
500001,682
510001,695
520001,703
530001,727
540001,759
550001,801
560001,826
570001,838
580001,857
590001,877
600001,924
610001,898
620001,921
630001,933
640001,954
650001,943
660001,980
670001,989
680001,1036
690001,1029
700001,1066
710001,1091
720001,1135
730001,1126
740001,1115
750001,1175
760001,1171
770001,1242
780001,1223
790001,1260
800001,1286
810001,1309
820001,1293
830001,1313
840001,1353
850001,1382
860001,1474
870001,1701
880001,1471
890001,1535
900001,1530
910001,1559
920001,1706
930001,1630
940001,1707
950001,1594
960001,1585
970001,1604
980001,1736
990001,2007
